City,State short,State full,County,City alias
Avon,CT,Connecticut,HARTFORD,Avon
Bloomfield,CT,Connecticut,HARTFORD,Bloomfield
Windsor,CT,Connecticut,HARTFORD,Windsor
Windsor,CT,Connecticut,HARTFORD,Northeast Area
Bristol,CT,Connecticut,HARTFORD,Forestville
Bristol,CT,Connecticut,HARTFORD,Bristol
Burlington,CT,Connecticut,HARTFORD,Burlington
Burlington,CT,Connecticut,HARTFORD,Unionville
Broad Brook,CT,Connecticut,HARTFORD,Windsorville
Broad Brook,CT,Connecticut,HARTFORD,Broad Brook
Broad Brook,CT,Connecticut,HARTFORD,Melrose
Canaan,CT,Connecticut,LITCHFIELD,North Canaan
Canaan,CT,Connecticut,LITCHFIELD,No Canaan
Canaan,CT,Connecticut,LITCHFIELD,Canaan
Canton,CT,Connecticut,HARTFORD,Canton
Canton,CT,Connecticut,HARTFORD,Collinsville
Canton Center,CT,Connecticut,HARTFORD,Cherry Brook
Canton Center,CT,Connecticut,HARTFORD,Canton Center
Colebrook,CT,Connecticut,LITCHFIELD,Colebrook
Colebrook,CT,Connecticut,LITCHFIELD,Colbrook
Collinsville,CT,Connecticut,HARTFORD,Collinsville
East Berlin,CT,Connecticut,HARTFORD,East Berlin
East Canaan,CT,Connecticut,LITCHFIELD,East Canaan
East Glastonbury,CT,Connecticut,HARTFORD,E Glstnbry
East Glastonbury,CT,Connecticut,HARTFORD,E Glastonbury
East Glastonbury,CT,Connecticut,HARTFORD,East Glastonbury
East Granby,CT,Connecticut,HARTFORD,East Granby
East Hartland,CT,Connecticut,HARTFORD,East Hartland
East Windsor Hill,CT,Connecticut,HARTFORD,East Windsor Hill
East Windsor Hill,CT,Connecticut,HARTFORD,E Windsor Hl
Ellington,CT,Connecticut,TOLLAND,Ellington
Farmington,CT,Connecticut,HARTFORD,Farmington
Farmington,CT,Connecticut,HARTFORD,University Of Ct Health Ctr
Falls Village,CT,Connecticut,LITCHFIELD,Falls Village
Falls Village,CT,Connecticut,LITCHFIELD,South Canaan
Farmington,CT,Connecticut,HARTFORD,The Exchange At Talcott Vill
Farmington,CT,Connecticut,HARTFORD,West Farms Mall
Farmington,CT,Connecticut,HARTFORD,Talcott Village
Glastonbury,CT,Connecticut,HARTFORD,Glastonbury
Granby,CT,Connecticut,HARTFORD,Granby
Berlin,CT,Connecticut,HARTFORD,Berlin
Berlin,CT,Connecticut,HARTFORD,Kenington
Berlin,CT,Connecticut,HARTFORD,Kensington
Lakeville,CT,Connecticut,LITCHFIELD,Hotchkiss School
Lakeville,CT,Connecticut,LITCHFIELD,Lakeville
Manchester,CT,Connecticut,HARTFORD,Manchester
Manchester,CT,Connecticut,HARTFORD,Jc Penney Co
Bolton,CT,Connecticut,TOLLAND,Bolton
New Britain,CT,Connecticut,HARTFORD,New Britain
New Britain,CT,Connecticut,HARTFORD,New Brit
New Hartford,CT,Connecticut,LITCHFIELD,Bakersville
New Hartford,CT,Connecticut,LITCHFIELD,Nepaug
New Hartford,CT,Connecticut,LITCHFIELD,New Hartford
Norfolk,CT,Connecticut,LITCHFIELD,Norfolk
North Canton,CT,Connecticut,HARTFORD,North Canton
North Granby,CT,Connecticut,HARTFORD,North Granby
Pine Meadow,CT,Connecticut,LITCHFIELD,Pine Meadow
Plainville,CT,Connecticut,HARTFORD,Plainville
Barkhamsted,CT,Connecticut,LITCHFIELD,Barkhamsted
Barkhamsted,CT,Connecticut,LITCHFIELD,Pleasant Valley
Barkhamsted,CT,Connecticut,LITCHFIELD,Pleasant Vly
Barkhamsted,CT,Connecticut,LITCHFIELD,Winsted
Poquonock,CT,Connecticut,HARTFORD,Poquonock
Riverton,CT,Connecticut,LITCHFIELD,Riverton
Vernon Rockville,CT,Connecticut,TOLLAND,Vernon
Vernon Rockville,CT,Connecticut,TOLLAND,Vernon Rockvl
Vernon Rockville,CT,Connecticut,TOLLAND,Rockville
Vernon Rockville,CT,Connecticut,TOLLAND,Turnpike
Vernon Rockville,CT,Connecticut,TOLLAND,Vernon-Rockville
Vernon Rockville,CT,Connecticut,TOLLAND,Vernon Rockville
Vernon Rockville,CT,Connecticut,TOLLAND,Talcottville
Rocky Hill,CT,Connecticut,HARTFORD,Rocky Hill
Salisbury,CT,Connecticut,LITCHFIELD,Salisbury
Sharon,CT,Connecticut,LITCHFIELD,West Woods
Sharon,CT,Connecticut,LITCHFIELD,Sharon Valley
Sharon,CT,Connecticut,LITCHFIELD,Sharon
Simsbury,CT,Connecticut,HARTFORD,Simbury
Simsbury,CT,Connecticut,HARTFORD,Simsbury
Somers,CT,Connecticut,TOLLAND,Somers
Somers,CT,Connecticut,TOLLAND,Connecticut State Prison
Somersville,CT,Connecticut,TOLLAND,Somersville
South Glastonbury,CT,Connecticut,HARTFORD,South Glastonbury
South Glastonbury,CT,Connecticut,HARTFORD,S Glastonbury
South Windsor,CT,Connecticut,HARTFORD,Bissell
South Windsor,CT,Connecticut,HARTFORD,South Windsor
South Windsor,CT,Connecticut,HARTFORD,Wapping
Stafford,CT,Connecticut,TOLLAND,Stafford
Stafford Springs,CT,Connecticut,TOLLAND,West Stafford
Stafford Springs,CT,Connecticut,TOLLAND,Stafford Sp
Stafford Springs,CT,Connecticut,TOLLAND,Stafford Springs
Stafford Springs,CT,Connecticut,TOLLAND,Union
Stafford Springs,CT,Connecticut,TOLLAND,Stafford Spgs
Staffordville,CT,Connecticut,TOLLAND,Staffordville
Suffield,CT,Connecticut,HARTFORD,Suffield
Taconic,CT,Connecticut,LITCHFIELD,Taconic
Taconic,CT,Connecticut,LITCHFIELD,Twin Lakes
Suffield,CT,Connecticut,HARTFORD,Mcdougal Correctional Fclty
Tariffville,CT,Connecticut,HARTFORD,Tariffville
Enfield,CT,Connecticut,HARTFORD,Enfield
Enfield,CT,Connecticut,HARTFORD,North Thompsonville
Enfield,CT,Connecticut,HARTFORD,Scitico
Enfield,CT,Connecticut,HARTFORD,Hazardville
Enfield,CT,Connecticut,HARTFORD,Thompsonville
Tolland,CT,Connecticut,TOLLAND,Tolland
Unionville,CT,Connecticut,HARTFORD,Lake Garda
Unionville,CT,Connecticut,HARTFORD,Unionville
Unionville,CT,Connecticut,HARTFORD,Accr A Data
East Windsor,CT,Connecticut,HARTFORD,Scantic
East Windsor,CT,Connecticut,HARTFORD,Warehouse Point
East Windsor,CT,Connecticut,HARTFORD,East Windsor
Weatogue,CT,Connecticut,HARTFORD,Weatogue
West Granby,CT,Connecticut,HARTFORD,West Granby
West Hartland,CT,Connecticut,HARTFORD,West Hartland
West Simsbury,CT,Connecticut,HARTFORD,West Simsbury
West Suffield,CT,Connecticut,HARTFORD,W Suffield
West Suffield,CT,Connecticut,HARTFORD,West Suffield
Winchester Center,CT,Connecticut,LITCHFIELD,Winchester
Winchester Center,CT,Connecticut,LITCHFIELD,Winchestr Ctr
Winchester Center,CT,Connecticut,LITCHFIELD,Winchester Center
Windsor,CT,Connecticut,HARTFORD,Wilson
Windsor Locks,CT,Connecticut,HARTFORD,Bradley International Airpor
Windsor Locks,CT,Connecticut,HARTFORD,Windsor Locks
Winsted,CT,Connecticut,LITCHFIELD,Winchestr Ctr
Winsted,CT,Connecticut,LITCHFIELD,Winchester Center
Winsted,CT,Connecticut,LITCHFIELD,Winchester
Winsted,CT,Connecticut,LITCHFIELD,Winsted
Hartford,CT,Connecticut,HARTFORD,Hartford
Hartford,CT,Connecticut,HARTFORD,Htfd
Hartford,CT,Connecticut,HARTFORD,Htd
Hartford,CT,Connecticut,HARTFORD,Central
Hartford,CT,Connecticut,HARTFORD,Main Office
Hartford,CT,Connecticut,HARTFORD,West Hartford
Hartford,CT,Connecticut,HARTFORD,Hfd
West Hartford,CT,Connecticut,HARTFORD,Hartford
West Hartford,CT,Connecticut,HARTFORD,W Htfd
West Hartford,CT,Connecticut,HARTFORD,West Hartford
West Hartford,CT,Connecticut,HARTFORD,W Hartford
West Hartford,CT,Connecticut,HARTFORD,West Hartfrd
East Hartford,CT,Connecticut,HARTFORD,Hartford
East Hartford,CT,Connecticut,HARTFORD,Hfd
East Hartford,CT,Connecticut,HARTFORD,East Htfd
East Hartford,CT,Connecticut,HARTFORD,Htfd
East Hartford,CT,Connecticut,HARTFORD,East Hartford
East Hartford,CT,Connecticut,HARTFORD,Forbes Village
East Hartford,CT,Connecticut,HARTFORD,Hartfrd
East Hartford,CT,Connecticut,HARTFORD,E Hartford
Wethersfield,CT,Connecticut,HARTFORD,Wethersfld
Wethersfield,CT,Connecticut,HARTFORD,Hartford
Wethersfield,CT,Connecticut,HARTFORD,Weth
Wethersfield,CT,Connecticut,HARTFORD,Wethersfield
Wethersfield,CT,Connecticut,HARTFORD,Hfd
